text,category
admission process,Admissions & Registrations
eligibility criteria,Admissions & Registrations
apply for admission,Admissions & Registrations
documents required for admission,Admissions & Registrations
management quota details,Admissions & Registrations
entrance exam dates,Admissions & Registrations
seat availability status,Admissions & Registrations
btech admission procedure,Admissions & Registrations
lateral entry admission,Admissions & Registrations
admission requirements,Admissions & Registrations
application form submission,Admissions & Registrations
counseling dates,Admissions & Registrations
seat allotment process,Admissions & Registrations
admission fee details,Admissions & Registrations
last date for admission,Admissions & Registrations
convener quota seats,Admissions & Registrations
category b seats,Admissions & Registrations
nri quota admission,Admissions & Registrations
admission notification,Admissions & Registrations
cutoff ranks for admission,Admissions & Registrations
rank required for cse,Admissions & Registrations
eapcet counseling code,Admissions & Registrations
admission contact number,Admissions & Registrations
online application link,Admissions & Registrations
download application form,Admissions & Registrations
admission guidelines,Admissions & Registrations
reservation policy,Admissions & Registrations
sports quota admission,Admissions & Registrations
joining date for first year,Admissions & Registrations
reporting time for admission,Admissions & Registrations
certificate verification,Admissions & Registrations
branch change options,Admissions & Registrations
scholarship eligibility for admission,Admissions & Registrations
hostel admission procedure,Admissions & Registrations
submit original certificates,Admissions & Registrations
fee structure,Financial Matters
tuition fee details,Financial Matters
scholarship availability,Financial Matters
fee payment options,Financial Matters
refund policy rules,Financial Matters
exam fee payment,Financial Matters
bus fee charges,Financial Matters
hostel fee structure,Financial Matters
mess charges per month,Financial Matters
payment deadline,Financial Matters
late fee penalty,Financial Matters
installment payment option,Financial Matters
online fee payment link,Financial Matters
demand draft details,Financial Matters
bank account for fees,Financial Matters
fee reimbursement status,Financial Matters
jagananna vidya deevena,Financial Matters
vasathi deevena scheme,Financial Matters
caution deposit amount,Financial Matters
library fine payment,Financial Matters
condonation fee,Financial Matters
revaluation fee details,Financial Matters
supplementary exam fee,Financial Matters
certificate fee,Financial Matters
convocation fee,Financial Matters
application fee amount,Financial Matters
hostel room rent,Financial Matters
transport charges,Financial Matters
scholarship application process,Financial Matters
financial aid office,Financial Matters
fee concession request,Financial Matters
fee receipt download,Financial Matters
due fee check,Financial Matters
syllabus copy,Academic Affairs
exam pattern details,Academic Affairs
academic calendar schedule,Academic Affairs
attendance requirements,Academic Affairs
grading system rules,Academic Affairs
subjects offered list,Academic Affairs
branch list available,Academic Affairs
course curriculum,Academic Affairs
academic regulations,Academic Affairs
internal marks weightage,Academic Affairs
semester exam dates,Academic Affairs
lab exam schedule,Academic Affairs
project submission guidelines,Academic Affairs
credit system explanation,Academic Affairs
backlog exam rules,Academic Affairs
detained list check,Academic Affairs
promoted list status,Academic Affairs
revaluation results,Academic Affairs
supplementary results,Academic Affairs
academic awards list,Academic Affairs
gold medalist criteria,Academic Affairs
class timetable download,Academic Affairs
faculty list department wise,Academic Affairs
mentor mentee system,Academic Affairs
student feedback form,Academic Affairs
online class schedule,Academic Affairs
library book rules,Academic Affairs
exam hall ticket download,Academic Affairs
academic grievances,Academic Affairs
course registration process,Academic Affairs
add drop elective,Academic Affairs
bonafide certificate request,Student Services
noc request form,Student Services
transfer certificate application,Student Services
id card issue process,Student Services
grievance complaint form,Student Services
study certificate request,Student Services
conduct certificate application,Student Services
migration certificate,Student Services
provisional certificate,Student Services
original degree certificate,Student Services
duplicate id card,Student Services
lost id card procedure,Student Services
address change request,Student Services
mobile number update,Student Services
email id update,Student Services
student profile update,Student Services
railway concession form,Student Services
bus pass application,Student Services
medical leave application,Student Services
hostel leave request,Student Services
gate pass for students,Student Services
permission letter format,Student Services
counseling support services,Student Services
anti ragging complaint,Student Services
women grievance cell,Student Services
student activity center,Student Services
student portal login,Student Services
password reset student portal,Student Services
wifi access request,Student Services
library membership card,Student Services
book bank scheme,Student Services
hostel facility details,Campus Life
transport facility routes,Campus Life
sports facilities available,Campus Life
clubs and activities,Campus Life
campus facilities list,Campus Life
canteen menu status,Campus Life
gym facility timings,Campus Life
medical facility on campus,Campus Life
atm facility location,Campus Life
bank branch within campus,Campus Life
post office facility,Campus Life
stationary shop details,Campus Life
reprography center,Campus Life
wifi availability campus,Campus Life
auditorium details,Campus Life
seminar halls list,Campus Life
student parking area,Campus Life
girls hostel amenities,Campus Life
boys hostel amenities,Campus Life
mess food quality,Campus Life
ragging free campus,Campus Life
cultural fest dates,Campus Life
technical fest events,Campus Life
sports day celebrations,Campus Life
annual day event,Campus Life
freshers day party,Campus Life
farewell party details,Campus Life
alumni meet schedule,Campus Life
ncc training details,Campus Life
nss camp activities,Campus Life
student unions details,Campus Life
college name details,General Information
location of college,General Information
principal name,General Information
accreditation status,General Information
contact details office,General Information
college history,General Information
college vision mission,General Information
affiliated university,General Information
autonomous status,General Information
college code eapcet,General Information
college rankings,General Information
infrastructure highlights,General Information
total campus area,General Information
nearest bus station,General Information
nearest railway station,General Information
distance from guntur,General Information
distance from vijayawada,General Information
college working hours,General Information
office timings,General Information
holiday list,General Information
faculty strength,General Information
student strength,General Information
management details,General Information
governing body members,General Information
college website url,General Information
official email id,General Information
phone number reception,General Information
fax number details,General Information
departments list,General Information
programs offered list,General Information
placements statistics,Cross-Domain Queries
internship opportunities,Cross-Domain Queries
training programs list,Cross-Domain Queries
industry tieups details,Cross-Domain Queries
highest package offer,Cross-Domain Queries
average package details,Cross-Domain Queries
top recruiters list,Cross-Domain Queries
placement cell contact,Cross-Domain Queries
campus drive dates,Cross-Domain Queries
eligibility for placements,Cross-Domain Queries
resume building workshop,Cross-Domain Queries
mock interview sessions,Cross-Domain Queries
aptitude training classes,Cross-Domain Queries
soft skills training,Cross-Domain Queries
technical training schedule,Cross-Domain Queries
internship duration rules,Cross-Domain Queries
summer internship program,Cross-Domain Queries
industrial visit plan,Cross-Domain Queries
project internship,Cross-Domain Queries
mou with companies,Cross-Domain Queries
startup incubation center,Cross-Domain Queries
entrepreneurship cell,Cross-Domain Queries
research opportunities,Cross-Domain Queries
higher studies guidance,Cross-Domain Queries
gate coaching classes,Cross-Domain Queries
cat coaching classes,Cross-Domain Queries
gre toefl guidance,Cross-Domain Queries
career counseling sessions,Cross-Domain Queries
alumni network support,Cross-Domain Queries
placement brochure download,Cross-Domain Queries
recruitment process steps,Cross-Domain Queries
